Team,Name,Salary
coyotes,"Ekman-Larsson, Oliver","$8,250,000"
coyotes,"Kessel, Phil","$6,800,000"
coyotes,"Stepan, Derek","$6,500,000"
coyotes,"Schmaltz, Nick","$5,850,000"
coyotes,"Goligoski, Alex","$5,475,000"
coyotes,"Hossa, Marián","$5,275,000"
coyotes,"Hjalmarsson, Niklas","$5,000,000"
coyotes,"Söderberg, Carl","$4,750,000"
coyotes,"Chychrun, Jakob","$4,600,000"
coyotes,"Dvorak, Christian","$4,450,000"
coyotes,"Raanta, Antti","$4,250,000"
coyotes,"Demers, Jason","$3,937,500"
coyotes,"Grabner, Michael","$3,350,000"
coyotes,"Kuemper, Darcy","$1,850,000"
coyotes,"Hall, Taylor","$3,000,000"
coyotes,"Crouse, Lawson","$1,533,333"
coyotes,"Hinostroza, Vinnie","$1,500,000"
coyotes,"Oesterle, Jordan","$1,400,000"
coyotes,"Richardson, Brad","$1,250,000"
coyotes,"Keller, Clayton","$885,833"
coyotes,"Lyubushkin, Ilya","$874,125"
coyotes,"Fischer, Christian","$821,666"
coyotes,"Garland, Conor","$775,000"
coyotes,"Hayton, Barrett","$894,167"
coyotes,"Ness, Aaron","$725,000"
coyotes,"Hill, Adin","$708,750"
coyotes,"Comrie, Eric","$700,000"
coyotes,"Capobianco, Kyle","$745,000"
coyotes,"Chaput, Michael","$675,000"
coyotes,"Prosvetov, Ivan","$809,167"
coyotes,"Russo, Robbie","$700,000"
coyotes,"Gross, Jordan","$925,000"
coyotes,"Burke, Brayden","$925,000"
coyotes,"Bunting, Michael","$737,500"
coyotes,"Speers, Blake","$728,333"
coyotes,"Källgren, Erik","$817,500"
coyotes,"Mayo, Dysin","$715,000"
coyotes,"Bennett, Beau","$725,000"
coyotes,"Dineen, Cam","$745,000"
coyotes,"Miele, Andy","$725,000"
coyotes,"Madsen, Merrick","$767,500"
coyotes,"Hännikäinen, Markus","$750,000"
coyotes,"Smereck, Jalen","$686,667"
coyotes,"Pederson, Lane","$690,000"
coyotes,"Schnarr, Nathan","$786,667"
coyotes,"Fiore, Giovanni","$701,667"
coyotes,"Fasching, Hudson","$737,500"
coyotes,"Birks, Dane","$755,000"
coyotes,"Bahl, Kevin","$817,500"
coyotes,"Jeník, Jan","$817,500"
coyotes,"Merkley, Nick","$863,333"
coyotes,"Söderström, Victor","$925,000"
coyotes,"Saarijärvi, Vili","$697,500"
coyotes,"Steenbergen, Tyler","$770,833"
goldenknights,"Stone, Mark","$9,500,000"
goldenknights,"Fleury, Marc-André","$7,000,000"
goldenknights,"Pacioretty, Max","$7,000,000"
goldenknights,"Stastny, Paul","$6,500,000"
goldenknights,"Schmidt, Nate","$5,950,000"
goldenknights,"Karlsson, William","$5,900,000"
goldenknights,"Theodore, Shea","$5,200,000"
goldenknights,"Smith, Reilly","$5,000,000"
goldenknights,"Marchessault, Jonathan","$5,000,000"
goldenknights,"Tuch, Alex","$4,750,000"
goldenknights,"Eakin, Cody","$3,850,000"
goldenknights,"Reaves, Ryan","$2,775,000"
goldenknights,"McNabb, Brayden","$2,500,000"
goldenknights,"Holden, Nick","$2,200,000"
goldenknights,"Merrill, Jon","$1,375,000"
goldenknights,"Nosek, Tomas","$1,000,000"
goldenknights,"Martinez, Alec","$4,000,000"
goldenknights,"Carrier, William","$725,000"
goldenknights,"Engelland, Deryk","$700,000"
goldenknights,"Stephenson, Chandler","$1,050,000"
goldenknights,"Subban, Malcolm","$850,000"
goldenknights,"Roy, Nicolas","$720,000"
goldenknights,"Lehner, Robin","$1,400,000"
goldenknights,"Whitecloud, Zach","$925,000"
goldenknights,"Cousins, Nick","$1,000,000"
goldenknights,"Glass, Cody","$863,333"
goldenknights,"Hague, Nicolas","$791,667"
goldenknights,"Pirri, Brandon","$775,000"
goldenknights,"Zykov, Valentin","$675,000"
goldenknights,"Kolesar, Keegan","$702,500"
goldenknights,"Bischoff, Jake","$716,667"
goldenknights,"Schuldt, Jimmy","$850,000"
goldenknights,"Dansk, Oscar","$675,000"
goldenknights,"Sparks, Garret","$750,000"
goldenknights,"Quinney, Gage","$715,000"
goldenknights,"Brown, Patrick","$700,000"
goldenknights,"McKenzie, Curtis","$750,000"
goldenknights,"Lernout, Brett","$700,000"
goldenknights,"Duke, Reid","$770,000"
goldenknights,"Goulbourne, Tyrell","$700,000"
goldenknights,"Elvenes, Lucas","$776,667"
goldenknights,"Leschyshyn, Jake","$778,333"
goldenknights,"Coghlan, Dylan","$715,556"
goldenknights,"Jones, Benjamin","$760,000"
goldenknights,"Megna, Jaycob","$700,000"
goldenknights,"Ferguson, Dylan","$733,333"
goldenknights,"Cotter, Paul","$770,000"
goldenknights,"Krebs, Peyton","$925,000"
goldenknights,"Korczak, Kaedan","$809,167"
goldenknights,"Røndbjerg, Jonas","$806,667"
goldenknights,"Kallionkieli, Marcus","$795,833"
goldenknights,"Pachal, Brayden","$765,000"
goldenknights,"Whitecloud, Zach",$0
goldenknights,"Tatar, Tomas","$500,000"
ducks,"Getzlaf, Ryan","$8,250,000"
ducks,"Kesler, Ryan","$6,875,000"
ducks,"Fowler, Cam","$6,500,000"
ducks,"Gibson, John","$6,400,000"
ducks,"Henrique, Adam","$5,825,000"
ducks,"Silfverberg, Jakob","$5,250,000"
ducks,"Lindholm, Hampus","$5,205,556"
ducks,"Manson, Josh","$4,100,000"
ducks,"Rakell, Rickard","$3,789,444"
ducks,"Gudbranson, Erik","$4,000,000"
ducks,"Eaves, Patrick","$3,150,000"
ducks,"Kase, Ondrej","$2,600,000"
ducks,"Shore, Devin","$2,300,000"
ducks,"Ritchie, Nick","$1,498,925"
ducks,"Rowney, Carter","$1,133,333"
ducks,"Miller, Ryan","$1,125,000"
ducks,"Backes, David","$4,500,000"
ducks,"Deslauriers, Nicolas","$950,000"
ducks,"Steel, Sam","$863,333"
ducks,"Larsson, Jacob","$894,166"
ducks,"Del Zotto, Michael","$750,000"
ducks,"Jones, Max","$863,333"
ducks,"Holzer, Korbinian","$850,000"
ducks,"Heinen, Danton","$2,800,000"
ducks,"Grant, Derek","$700,000"
ducks,"Djoos, Christian","$1,250,000"
ducks,"Milano, Sonny","$874,125"
ducks,"Agozzino, Andrew","$700,000"
ducks,"Irwin, Matt","$675,000"
ducks,"Terry, Troy","$925,000"
ducks,"Comtois, Maxime","$820,000"
ducks,"Guhle, Brendan","$697,500"
ducks,"Sherwood, Kiefer","$925,000"
ducks,"Lundeström, Isac","$925,000"
ducks,"Hakanpää, Jani","$850,000"
ducks,"Mahura, Josh","$745,000"
ducks,"Stolarz, Anthony","$750,000"
ducks,"Sprong, Daniel","$750,000"
ducks,"Carrick, Sam","$700,000"
ducks,"De Leo, Chase","$750,000"
ducks,"Pietila, Blake","$750,000"
ducks,"Benoit, Simon","$809,166"
ducks,"Wideman, Chris","$700,000"
ducks,"Sideroff, Deven","$728,333"
ducks,"Kopacka, Jack","$745,000"
ducks,"Mueller, Chris","$700,000"
ducks,"Dostie, Alex","$759,167"
ducks,"Sieloff, Patrick","$700,000"
ducks,"Morand, Antoine","$778,333"
ducks,"Kloos, Justin","$700,000"
ducks,"Martinsen, Andreas","$750,000"
ducks,"Poturalski, Andrew","$700,000"
ducks,"Eriksson Ek, Olle","$773,889"
ducks,"Criscuolo, Kyle","$700,000"
ducks,"Groulx, Benoit-Olivier","$836,667"
ducks,"Redmond, Angus","$842,500"
ducks,"Andersson, Axel","$795,000"
ducks,"Dostal, Lukas","$836,667"
ducks,"Boyle, Kevin","$675,000"
ducks,"Persson, Joel","$1,000,000"
ducks,"Tracey, Brayden","$925,000"
ducks,"Steel, Sam","$227,437"
ducks,"Shore, Devin","$759,000"
bruins,"Krejci, David","$7,250,000"
bruins,"Rask, Tuukka","$7,000,000"
bruins,"Bergeron, Patrice","$6,875,000"
bruins,"Pastrnak, David","$6,666,666"
bruins,"Marchand, Brad","$6,125,000"
bruins,"Krug, Torey","$5,250,000"
bruins,"McAvoy, Charlie","$4,900,000"
bruins,"Backes, David","$6,000,000"
bruins,"Coyle, Charlie","$3,200,000"
bruins,"Carlo, Brandon","$2,850,000"
